source,target
571,107
571,133
571,305
571,336
571,401
571,42
571,432
571,434
571,436
571,479
571,490
571,505
571,57
571,573
571,585
571,616
571,627
571,673
571,68
571,700
571,704
571,785
571,83
571,858
571,96
107,133
107,305
107,336
107,401
107,42
107,432
107,434
107,436
107,479
107,490
107,505
107,57
107,573
107,585
107,616
107,627
107,673
107,68
107,700
107,704
107,785
107,83
107,858
107,96
133,305
133,336
133,401
133,42
133,432
133,434
133,436
133,479
133,490
133,505
133,57
133,573
133,585
133,616
133,627
133,673
133,68
133,700
133,704
133,785
133,83
133,858
133,96
305,336
305,401
305,42
305,432
305,434
305,436
305,479
305,490
305,505
305,57
305,573
305,585
305,616
305,627
305,673
305,68
305,700
305,704
305,785
305,83
305,858
305,96
336,401
336,42
336,432
336,434
336,436
336,479
336,490
336,505
336,57
336,573
336,585
336,616
336,627
336,673
336,68
336,700
336,704
336,785
336,83
336,858
336,96
401,42
401,432
401,434
401,436
401,479
401,490
401,505
401,57
401,573
401,585
401,616
401,627
401,673
401,68
401,700
401,704
401,785
401,83
401,858
401,96
407,303
42,432
42,434
42,436
42,479
42,490
42,505
42,57
42,573
42,585
42,616
42,627
42,673
42,68
42,700
42,704
42,785
42,83
42,858
42,96
432,434
432,436
432,479
432,490
432,505
432,57
432,573
432,585
432,616
432,627
432,673
432,68
432,700
432,704
432,785
432,83
432,858
432,96
434,436
434,479
434,490
434,505
434,57
434,573
434,585
434,616
434,627
434,673
434,68
434,700
434,704
434,785
434,83
434,858
434,96
436,479
436,490
436,505
436,57
436,573
436,585
436,616
436,627
436,673
436,68
436,700
436,704
436,785
436,83
436,858
436,96
479,490
479,505
479,57
479,573
479,585
479,616
479,627
479,673
479,68
479,700
479,704
479,785
479,83
479,858
479,96
490,505
490,57
490,573
490,585
490,616
490,627
490,673
490,68
490,700
490,704
490,785
490,83
490,858
490,96
505,57
505,573
505,585
505,616
505,627
505,673
505,68
505,700
505,704
505,785
505,83
505,858
505,96
57,573
57,585
57,616
57,627
57,673
57,68
57,700
57,704
57,785
57,83
57,858
57,96
573,585
573,616
573,627
573,673
573,68
573,700
573,704
573,785
573,83
573,858
573,96
585,616
585,627
585,673
585,68
585,700
585,704
585,785
585,83
585,858
585,96
616,627
616,673
616,68
616,700
616,704
616,785
616,83
616,858
616,96
627,673
627,68
627,700
627,704
627,785
627,83
627,858
627,96
673,68
673,700
673,704
673,785
673,83
673,858
673,96
68,700
68,704
68,785
68,83
68,858
68,96
700,704
700,785
700,83
700,858
700,96
704,785
704,83
704,858
704,96
785,83
785,858
785,96
83,858
83,96
858,96
131,400
131,708
131,568
131,851
368,398
368,209
368,730
368,870
368,509
368,317
368,437
368,799
368,613
368,441
368,183
368,296
368,420
368,204
368,224
368,315
368,60
368,604
368,48
368,396
368,443
368,541
368,823
368,757
400,667
400,161
774,487
160,376
160,195
160,29
160,366
160,522
160,145
160,763
160,628
160,777
376,195
376,29
376,366
376,522
376,145
376,763
376,628
376,777
398,209
398,730
398,870
398,509
398,437
398,799
398,613
398,217
398,441
398,183
398,420
398,204
398,224
398,60
398,604
398,396
398,443
398,103
398,541
398,823
398,757
209,730
209,870
209,509
209,317
209,437
209,799
209,613
209,217
209,441
209,296
209,420
209,185
209,224
209,315
209,60
209,604
209,396
209,443
209,541
209,823
730,870
730,509
730,317
730,437
730,799
730,613
730,217
730,296
730,420
730,204
730,315
730,5
730,48
730,541
708,568
708,851
708,829
870,509
870,317
870,437
870,441
870,183
870,296
870,185
870,5
870,103
568,851
568,829
667,161
487,55
6,488
6,39
6,527
6,457
6,646
6,891
6,61
6,751
6,86
6,58
6,151
6,117
6,496
509,317
509,799
509,315
509,5
195,29
195,366
195,522
195,145
195,628
195,777
317,217
317,183
317,296
317,315
317,5
437,217
437,441
437,183
437,185
437,224
437,60
488,39
488,527
488,457
488,646
488,891
488,61
488,751
488,58
488,151
488,117
488,496
29,366
29,522
29,145
29,763
29,628
29,777
366,522
366,145
366,763
522,145
522,763
522,628
522,777
39,527
39,457
39,646
39,891
39,61
39,86
39,151
39,496
799,613
799,48
527,457
527,891
527,151
527,117
145,763
145,628
511,838
511,532
511,20
457,646
457,86
613,420
613,204
613,604
613,48
613,757
646,61
646,751
646,86
217,185
217,103
255,474
255,807
255,56
255,333
255,617
255,624
255,720
441,224
441,60
441,396
628,777
183,185
183,103
891,496
169,383
169,745
169,77
169,687
296,5
517,866
517,842
517,602
61,751
61,58
420,204
420,604
420,757
204,48
751,58
474,807
474,56
474,333
474,617
474,624
474,864
474,897
807,56
807,333
866,842
866,682
151,117
185,103
224,396
224,443
383,745
383,77
383,252
604,541
604,823
604,757
188,194
188,239
188,243
188,26
188,347
188,364
188,408
188,472
188,49
188,515
188,790
188,876
188,886
188,726
188,168
188,234
188,433
188,481
188,497
188,614
188,635
188,671
188,903
188,94
188,174
188,466
188,510
188,661
188,701
188,738
188,766
188,839
188,848
188,872
188,559
194,239
194,243
194,26
194,347
194,364
194,408
194,472
194,49
194,515
194,790
194,876
194,886
194,726
194,168
194,234
194,433
194,481
194,497
194,614
194,635
194,671
194,903
194,94
194,174
194,466
194,510
194,661
194,701
194,738
194,766
194,839
194,848
194,872
194,559
239,243
239,26
239,347
239,364
239,408
239,472
239,49
239,515
239,790
239,876
239,886
239,726
239,168
239,234
239,433
239,481
239,497
239,614
239,635
239,671
239,903
239,94
239,174
239,466
239,510
239,661
239,701
239,738
239,766
239,839
239,848
239,872
239,559
243,26
243,347
243,364
243,408
243,472
243,49
243,515
243,790
243,876
243,886
243,726
243,168
243,234
243,433
243,481
243,497
243,614
243,635
243,671
243,903
243,94
243,174
243,466
243,510
243,661
243,701
243,738
243,766
243,839
243,848
243,872
243,559
26,347
26,364
26,408
26,472
26,49
26,515
26,790
26,876
26,886
26,726
26,168
26,234
26,433
26,481
26,497
26,614
26,635
26,671
26,903
26,94
26,174
26,466
26,510
26,661
26,701
26,738
26,766
26,839
26,848
26,872
26,559
347,364
347,408
347,472
347,49
347,515
347,790
347,876
347,886
347,726
347,168
347,234
347,433
347,481
347,497
347,614
347,635
347,671
347,903
347,94
347,174
347,466
347,510
347,661
347,701
347,738
347,766
347,839
347,848
347,872
347,559
364,408
364,472
364,49
364,515
364,790
364,876
364,886
364,726
364,168
364,234
364,433
364,481
364,497
364,614
364,635
364,671
364,903
364,94
364,174
364,466
364,510
364,661
364,701
364,766
364,839
364,848
364,872
364,559
396,443
408,472
408,49
408,515
408,790
408,876
408,886
408,726
408,168
408,234
408,433
408,481
408,497
408,614
408,635
408,671
408,94
408,466
408,661
408,701
408,738
408,839
472,49
472,515
472,790
472,876
472,886
472,726
472,168
472,234
472,433
472,481
472,497
472,614
472,671
472,903
472,94
472,466
472,510
472,701
472,738
472,839
472,848
472,559
49,515
49,790
49,876
49,886
49,726
49,168
49,234
49,433
49,481
49,671
49,903
49,174
49,466
49,701
49,738
49,839
49,872
49,559
515,790
515,876
515,886
515,726
515,168
515,234
515,433
515,671
515,903
515,174
515,466
515,701
515,738
515,872
515,559
745,252
790,876
790,886
790,726
790,168
790,234
790,433
790,481
790,497
790,614
790,635
790,94
790,661
790,701
790,766
790,839
876,886
876,726
876,234
876,481
876,614
876,635
876,661
876,701
876,766
876,839
886,726
886,168
886,433
886,497
886,671
886,903
886,174
886,466
886,510
886,738
886,848
886,872
886,559
842,682
842,602
838,532
838,20
56,624
56,864
333,617
333,720
904,326
904,410
904,332
904,297
904,126
904,228
904,343
904,63
904,676
904,651
904,72
904,765
904,450
904,525
904,121
904,226
904,739
904,316
904,397
904,685
904,721
904,393
904,44
617,720
624,864
624,897
326,410
326,332
326,228
326,343
326,214
326,72
326,525
326,596
326,783
532,20
541,823
726,168
726,234
726,481
726,497
726,614
726,635
726,94
726,510
726,661
726,766
726,848
77,687
168,433
168,497
168,671
168,903
168,94
168,174
168,510
168,848
168,872
234,481
234,497
234,614
234,635
234,94
234,510
234,661
234,766
433,671
433,903
433,174
433,466
433,738
433,872
481,614
481,635
481,701
481,839
497,94
497,510
497,766
497,848
614,635
614,661
635,661
671,903
671,174
671,466
671,738
903,174
903,872
903,559
94,510
94,766
94,848
174,872
174,559
466,738
510,848
661,766
701,839
864,897
872,559
577,119
577,476
577,118
577,45
577,610
577,257
577,531
577,448
577,502
577,216
577,451
577,797
577,132
577,139
577,634
577,377
577,412
577,482
577,516
577,622
577,644
577,71
577,780
577,404
577,740
577,231
577,359
577,373
577,655
577,811
577,831
119,476
119,118
119,45
119,342
119,257
119,448
119,216
119,451
119,266
119,171
119,516
119,186
119,208
119,512
119,231
119,359
119,744
119,902
119,427
119,69
119,569
119,808
119,811
119,831
410,297
410,651
410,316
410,122
52,35
52,840
52,89
52,115
52,153
52,307
52,382
180,192
180,242
180,263
180,318
180,33
180,346
180,446
180,491
180,583
180,59
180,600
180,78
180,787
180,827
180,874
180,881
180,893
180,93
192,242
192,263
192,318
192,33
192,346
192,446
192,491
192,583
192,59
192,600
192,78
192,787
192,827
192,874
192,881
192,893
192,93
242,263
242,318
242,33
242,346
242,446
242,491
242,583
242,59
242,600
242,78
242,787
242,827
242,874
242,881
242,893
242,93
263,318
263,33
263,346
263,446
263,491
263,583
263,59
263,600
263,78
263,787
263,827
263,874
263,881
263,893
263,93
318,33
318,346
318,446
318,491
318,583
318,59
318,600
318,78
318,787
318,827
318,874
318,881
318,893
318,93
33,346
33,446
33,491
33,583
33,59
33,600
33,78
33,787
33,827
33,874
33,881
33,893
33,93
346,446
346,491
346,583
346,59
346,600
346,78
346,787
346,827
346,874
346,881
346,893
346,93
379,392
379,76
379,345
379,429
379,155
379,553
379,564
446,491
446,583
446,59
446,600
446,78
446,787
446,827
446,874
446,881
446,893
446,93
476,118
476,45
476,610
476,216
476,879
476,266
476,482
476,186
476,655
491,583
491,59
491,600
491,78
491,787
491,827
491,874
491,881
491,893
491,93
583,59
583,600
583,78
583,787
583,827
583,874
583,881
583,893
583,93
59,600
59,78
59,787
59,827
59,874
59,881
59,893
59,93
600,78
600,787
600,827
600,874
600,881
600,893
600,93
78,787
78,827
78,874
78,881
78,893
78,93
787,827
787,874
787,881
787,893
787,93
827,874
827,881
827,893
827,93
874,881
874,893
874,93
881,893
881,93
893,93
392,292
392,659
392,535
392,845
118,610
118,342
118,531
118,502
118,451
118,879
118,132
118,512
118,778
118,69
45,448
45,132
45,634
45,377
45,409
45,780
45,404
45,814
45,380
45,808
45,811
46,173
46,889
896,513
896,623
322,612
332,214
332,596
332,397
332,721
332,268
76,51
76,167
76,337
76,235
297,126
297,765
297,226
610,342
610,531
610,516
610,186
610,740
610,69
342,257
342,502
342,797
342,266
342,171
342,412
342,208
342,778
342,238
342,744
342,902
342,569
345,179
126,739
126,393
126,417
126,684
253,816
253,128
253,729
228,450
228,607
257,139
257,171
257,902
343,63
343,121
35,840
35,89
35,115
35,307
35,382
414,680
429,284
429,8
429,575
531,699
531,482
531,512
840,89
840,153
840,307
840,350
89,115
89,153
89,350
284,210
448,634
448,780
502,412
502,238
502,499
502,744
502,569
51,477
63,685
63,44
63,702
8,223
167,714
167,789
214,676
216,879
216,699
216,814
451,797
451,644
451,238
451,359
451,499
451,831
681,348
797,139
797,622
797,373
337,21
421,273
421,82
575,222
651,122
879,699
879,814
115,382
132,377
132,409
132,380
139,622
139,644
139,499
153,350
179,761
210,385
235,367
266,208
367,508
367,768
450,607
525,783
596,268
634,404
634,655
634,808
171,778
211,856
377,409
377,71
377,380
409,71
409,427
435,0
435,190
435,743
435,859
435,863
644,231
644,373
71,427
768,430
186,740
249,187
249,654
273,82
0,190
0,863
0,41
276,551
393,417
393,684
44,702
733,100
832,233
832,796
110,390
110,40
110,422
189,742
189,843
189,363
189,444
189,833
22,314
22,402
22,464
22,709
265,205
314,402
314,464
314,709
390,40
390,422
40,422
402,464
402,709
464,709
73,294
735,649
742,843
742,142
742,363
843,142
843,444
97,731
97,834
109,178
134,503
190,743
190,746
201,371
277,38
277,899
31,354
31,835
31,892
310,619
354,835
354,892
38,899
386,241
386,80
455,469
455,492
455,771
468,236
468,650
494,546
528,621
645,820
743,859
743,746
835,892
863,41
100,737
187,654
275,717
328,66
328,695
356,88
363,833
413,143
447,629
470,536
64,824
64,852
66,695
665,850
67,887
820,657
824,852
101,95
111,853
114,387
146,75
148,734
157,475
158,419
159,301
163,798
2,792
206,471
227,54
245,329
247,857
256,677
278,642
283,784
298,664
319,384
369,592
424,608
484,618
548,669
